Brain_Region,BA,X,Y,Z,T,Brain_Space,Task_Name
L-Supp-Motor-Area,6.0,-3,15,57,6.65,MNI,IDENTITY vs. PURE TONE
L-Putamen,,-21,-3,9,3.73,MNI,IDENTITY vs. PURE TONE
L-Thalamus,,-12,-18,9,5.43,MNI,IDENTITY vs. PURE TONE
Vermis-8,,3,-60,-36,5.29,MNI,IDENTITY vs. PURE TONE
R-Frontal-Inf-Orb,47.0,39,42,-9,3.61,MNI,IDENTITY vs. PURE TONE
L-Cerebelum-6,37.0,-27,-51,-30,4.71,MNI,IDENTITY vs. PURE TONE
L-Cerebelum-4/5,37.0,-30,-39,-24,4.41,MNI,IDENTITY vs. PURE TONE
L-Cerebelum-8,,30,-63,-48,4.39,MNI,IDENTITY vs. PURE TONE
L-Temporal-Sup,22.0,-60,-13,6,8.51,MNI,IDENTITY vs. PURE TONE
L-Fusiform,37.0,-37,-31,-18,4.51,MNI,IDENTITY vs. PURE TONE
L-Temporal-Mid,22.0,-63,-9,0,11.33,MNI,IDENTITY vs. PURE TONE
R-Temporal-Sup,48.0,60,0,0,9.68,MNI,IDENTITY vs. PURE TONE
L-Temporal-Sup,48.0,-51,-15,3,8.97,MNI,IDENTITY vs. PURE TONE
R-Heschl,48.0,45,-18,6,5.58,MNI,IDENTITY vs. PURE TONE
R-Postcentral,4.0,18,-30,78,4.46,MNI,IDENTITY vs. PURE TONE
L-Frontal-Inf-Orb,47.0,-39,30,-12,4.43,MNI,IDENTITY vs. PURE TONE
L-Postcentral,43.0,-60,-5,21,4.37,MNI,IDENTITY vs. PURE TONE
R-Precentral,6.0,24,-24,75,4.35,MNI,IDENTITY vs. PURE TONE
R-Temporal-Mid,21.0,69,-27,0,3.94,MNI,IDENTITY vs. PURE TONE
